id,x,y
2,18789,39968
2,18799,39968
2,18831,39968
2,18862,39968
2,18883,39968
2,18915,39958
2,18967,39937
2,19020,39905
2,19062,39873
2,19093,39842
2,19125,39789
2,19157,39737
2,19188,39705
2,19220,39674
2,19241,39632
2,19272,39600
2,19314,39548
2,19356,39453
2,19409,39359
2,19461,39254
2,19503,39149
2,19535,39065
2,19556,38991
2,19566,38938
2,19577,38896
2,19587,38865
2,19587,38844
2,19587,38823
2,19587,38802
2,19587,38781
2,19566,38728
2,19524,38644
2,19482,38581
2,19440,38539
2,19419,38497
2,19398,38466
2,19367,38445
2,19346,38424
2,19325,38403
2,19314,38382
2,19314,38361
2,19304,38340
2,19251,38308
2,19157,38266
2,19072,38245
2,19020,38235
2,18988,38214
2,18946,38203
2,18904,38203
2,18873,38224
2,18820,38256
2,18757,38298
2,18705,38340
2,18663,38371
2,18621,38403
2,18589,38445
2,18568,38508
2,18516,38602
2,18442,38697
2,18368,38791
2,18305,38875
2,18263,38928
2,18221,39001
2,18179,39086
2,18116,39159
2,18053,39243
2,18001,39317
2,17959,39369
2,17948,39411
2,17938,39443
2,17927,39485
2,17927,39527
2,17927,39579
2,17938,39653
2,17948,39705
2,17980,39758
2,18064,39842
2,18158,39905
2,18253,39958
2,18347,40010
2,18421,40031
2,18473,40042
2,18526,40063
2,18568,40084
2,18610,40094
2,18663,40105
2,18705,40126
2,18757,40136
2,18799,40136
2,18841,40136
2,18883,40136
2,18915,40136
2,18957,40136
2,19020,40105
2,19083,40042
2,19104,40010
3,15510,26772
3,15510,26751
3,15500,26709
3,15468,26667
3,15437,26646
3,15416,26625
3,15395,26583
3,15374,26541
3,15342,26489
3,15289,26415
3,15226,26321
3,15153,26205
3,15069,26090
3,14995,25995
3,14922,25921
3,14827,25848
3,14733,25795
3,14648,25764
3,14543,25743
3,14428,25743
3,14323,25732
3,14218,25722
3,14144,25722
3,14102,25722
3,14071,25722
3,14060,25732
3,14050,25785
3,14039,25879
3,14039,25942
3,14050,25974
3,14060,26006
3,14071,26027
3,14092,26048
3,14113,26069
3,14134,26111
3,14144,26153
3,14155,26195
3,14165,26247
3,14165,26300
3,14176,26352
3,14186,26405
3,14197,26457
3,14218,26499
3,14239,26541
3,14260,26583
3,14281,26636
3,14312,26709
3,14354,26772
3,14396,26825
3,14449,26878
3,14512,26909
3,14554,26941
3,14585,26972
3,14627,26993
3,14659,27004
3,14680,27014
3,14691,27035
3,14712,27056
3,14764,27077
3,14817,27088
3,14848,27098
3,14869,27109
3,14890,27109
3,14932,27109
3,14985,27109
3,15016,27109
3,15037,27098
3,15058,27088
3,15079,27088
3,15100,27088
3,15121,27067
3,15153,27025
3,15195,26993
3,15216,26962
3,15237,26920
3,15268,26888
3,15300,26867
3,15321,26825
3,15321,26783
3,15332,26751
3,15342,26709
3,15342,26688
4,15174,24923
4,15184,24923
4,15237,24923
4,15332,24955
4,15468,25018
4,15636,25081
4,15783,25134
4,15899,25176
4,15973,25207
4,16025,25228
4,16099,25260
4,16151,25291
4,16172,25312
4,16204,25323
4,16235,25323
4,16256,25323
4,16277,25323
4,16309,25323
4,16361,25323
4,16435,25281
4,16550,25186
4,16656,25123
4,16687,25081
4,16698,25039
4,16719,25018
4,16729,24997
4,16750,24944
4,16771,24860
4,16782,24787
4,16792,24724
4,16792,24650
4,16792,24577
4,16792,24514
4,16792,24461
4,16771,24409
4,16729,24335
4,16698,24283
4,16677,24262
4,16645,24230
4,16603,24198
4,16561,24177
4,16508,24156
4,16435,24125
4,16361,24083
4,16288,24051
4,16204,24030
4,16099,24009
4,15952,23999
4,15825,23999
4,15741,23999
4,15657,24030
4,15573,24072
4,15510,24104
4,15458,24135
4,15405,24156
4,15374,24177
4,15342,24198
4,15300,24220
4,15258,24251
4,15226,24283
4,15195,24325
4,15142,24388
4,15079,24451
4,15027,24503
4,15006,24535
4,14995,24587
4,14985,24650
4,14985,24682
4,14985,24724
4,14985,24766
4,14985,24787
4,14995,24797
4,15016,24797
4,15037,24797
4,15058,24808
4,15090,24818
4,15111,24829
4,15121,24860
4,15132,24881
5,6263,27256
5,6273,27256
5,6284,27245
5,6294,27224
5,6326,27193
5,6368,27119
5,6410,27025
5,6442,26941
5,6463,26878
5,6484,26836
5,6494,26804
5,6494,26741
5,6494,26667
5,6494,26615
5,6473,26552
5,6421,26499
5,6357,26468
5,6294,26426
5,6210,26384
5,6116,26373
5,6042,26373
5,6000,26373
5,5979,26373
5,5937,26373
5,5832,26384
5,5685,26415
5,5485,26499
5,5254,26625
5,5033,26762
5,4855,26899
5,4739,27014
5,4645,27119
5,4561,27214
5,4508,27319
5,4487,27455
5,4477,27581
5,4477,27686
5,4477,27781
5,4477,27855
5,4477,27907
